Codelist,Variable_Name,Description
CL_INDICATOR_GFSMAB2016,G14__Z,Other revenue
CL_INDICATOR_GFSMAB2016,GPB__Z,Primary net lending / borrowing
CL_INDICATOR_GFSMAB2016,G1__Z,Revenue
CL_INDICATOR_GFSMAB2016,G27__Z,Social benefits
CL_INDICATOR_GFSMAB2016,G12__Z,Social contributions
CL_INDICATOR_GFSMAB2016,G62_F,Stock position of financial assets
CL_INDICATOR_GFSMAB2016,G63_F,Stock position of liabilities
CL_INDICATOR_GFSMAB2016,G61_NN,Stock position of nonfinancial assets
CL_INDICATOR_GFSMAB2016,G25__Z,Subsidies
CL_INDICATOR_GFSMAB2016,G11__Z,Tax revenue
CL_INDICATOR_GFSMAB2016,G22__Z,Use of goods and services
CL_AREA_GFSYFALCS2014,512,"Afghanistan, Islamic Republic of"
CL_AREA_GFSYFALCS2014,914,Albania
CL_AREA_GFSYFALCS2014,612,Algeria
CL_AREA_GFSYFALCS2014,614,Angola
CL_AREA_GFSYFALCS2014,312,Anguilla
CL_AREA_GFSYFALCS2014,311,Antigua and Barbuda
CL_AREA_GFSYFALCS2014,213,Argentina
CL_AREA_GFSYFALCS2014,911,"Armenia, Republic of"
CL_AREA_GFSYFALCS2014,314,Aruba
CL_AREA_GFSYFALCS2014,193,Australia
CL_AREA_GFSYFALCS2014,122,Austria
CL_AREA_GFSYFALCS2014,912,"Azerbaijan, Republic of"
CL_AREA_GFSYFALCS2014,313,"Bahamas, The"
CL_AREA_GFSYFALCS2014,419,"Bahrain, Kingdom of"
CL_AREA_GFSYFALCS2014,513,Bangladesh
CL_AREA_GFSYFALCS2014,316,Barbados
CL_AREA_GFSYFALCS2014,913,Belarus
CL_AREA_GFSYFALCS2014,124,Belgium
CL_AREA_GFSYFALCS2014,339,Belize
CL_AREA_GFSYFALCS2014,638,Benin
CL_AREA_GFSYFALCS2014,514,Bhutan
CL_AREA_GFSYFALCS2014,218,Bolivia
CL_AREA_GFSYFALCS2014,963,Bosnia and Herzegovina
CL_AREA_GFSYFALCS2014,616,Botswana
CL_AREA_GFSYFALCS2014,223,Brazil
CL_AREA_GFSYFALCS2014,516,Brunei Darussalam
CL_AREA_GFSYFALCS2014,918,Bulgaria
CL_AREA_GFSYFALCS2014,748,Burkina Faso
CL_AREA_GFSYFALCS2014,618,Burundi
CL_AREA_GFSYFALCS2014,624,Cabo Verde
CL_AREA_GFSYFALCS2014,522,Cambodia
CL_AREA_GFSYFALCS2014,622,Cameroon
CL_AREA_GFSYFALCS2014,156,Canada
CL_AREA_GFSYFALCS2014,377,Cayman Islands
CL_AREA_GFSYFALCS2014,626,Central African Republic
CL_AREA_GFSYFALCS2014,628,Chad
CL_AREA_GFSYFALCS2014,228,Chile
CL_AREA_GFSYFALCS2014,532,"China, P.R.: Hong Kong"
CL_AREA_GFSYFALCS2014,546,"China, P.R.: Macao"
CL_AREA_GFSYFALCS2014,924,"China, P.R.: Mainland"
CL_AREA_GFSYFALCS2014,233,Colombia
CL_AREA_GFSYFALCS2014,632,Comoros
CL_AREA_GFSYFALCS2014,636,"Congo, Democratic Republic of"
CL_AREA_GFSYFALCS2014,634,"Congo, Republic of"
CL_AREA_GFSYFALCS2014,815,Cook Islands
CL_AREA_GFSYFALCS2014,238,Costa Rica
CL_AREA_GFSYFALCS2014,662,Cote d'Ivoire
CL_AREA_GFSYFALCS2014,960,Croatia
CL_AREA_GFSYFALCS2014,355,Curacao & St. Maarten
CL_AREA_GFSYFALCS2014,423,Cyprus
CL_AREA_GFSYFALCS2014,935,Czech Republic
CL_AREA_GFSYFALCS2014,128,Denmark
CL_AREA_GFSYFALCS2014,611,Djibouti
CL_AREA_GFSYFALCS2014,321,Dominica
CL_AREA_GFSYFALCS2014,243,Dominican Republic
CL_AREA_GFSYFALCS2014,248,Ecuador
CL_AREA_GFSYFALCS2014,469,Egypt
CL_AREA_GFSYFALCS2014,253,El Salvador
CL_AREA_GFSYFALCS2014,642,Equatorial Guinea
CL_AREA_GFSYFALCS2014,643,Eritrea
CL_AREA_GFSYFALCS2014,939,Estonia
CL_AREA_GFSYFALCS2014,644,Ethiopia
CL_AREA_GFSYFALCS2014,163,Euro Area
CL_AREA_GFSYFALCS2014,819,Fiji
CL_AREA_GFSYFALCS2014,172,Finland
CL_AREA_GFSYFALCS2014,132,France
CL_AREA_GFSYFALCS2014,646,Gabon
CL_AREA_GFSYFALCS2014,648,"Gambia, The"
CL_AREA_GFSYFALCS2014,915,Georgia
CL_AREA_GFSYFALCS2014,134,Germany
CL_AREA_GFSYFALCS2014,652,Ghana
CL_AREA_GFSYFALCS2014,174,Greece
CL_AREA_GFSYFALCS2014,328,Grenada
CL_AREA_GFSYFALCS2014,258,Guatemala
CL_AREA_GFSYFALCS2014,656,Guinea
CL_AREA_GFSYFALCS2014,654,Guinea-Bissau
CL_AREA_GFSYFALCS2014,336,Guyana
CL_AREA_GFSYFALCS2014,263,Haiti
CL_AREA_GFSYFALCS2014,268,Honduras
CL_AREA_GFSYFALCS2014,944,Hungary
CL_AREA_GFSYFALCS2014,176,Iceland
CL_AREA_GFSYFALCS2014,534,India
CL_AREA_GFSYFALCS2014,536,Indonesia
CL_AREA_GFSYFALCS2014,429,"Iran, Islamic Republic of"
CL_AREA_GFSYFALCS2014,433,Iraq
CL_AREA_GFSYFALCS2014,178,Ireland
CL_AREA_GFSYFALCS2014,436,Israel
CL_AREA_GFSYFALCS2014,136,Italy
CL_AREA_GFSYFALCS2014,343,Jamaica
CL_AREA_GFSYFALCS2014,158,Japan
CL_AREA_GFSYFALCS2014,439,Jordan
CL_AREA_GFSYFALCS2014,916,Kazakhstan
CL_AREA_GFSYFALCS2014,664,Kenya
CL_AREA_GFSYFALCS2014,826,Kiribati
CL_AREA_GFSYFALCS2014,542,"Korea, Republic of"
CL_AREA_GFSYFALCS2014,967,"Kosovo, Republic of"
CL_AREA_GFSYFALCS2014,443,Kuwait
CL_AREA_GFSYFALCS2014,917,Kyrgyz Republic
CL_AREA_GFSYFALCS2014,544,Lao People's Democratic Republic
CL_AREA_GFSYFALCS2014,941,Latvia
CL_AREA_GFSYFALCS2014,446,Lebanon
CL_AREA_GFSYFALCS2014,666,Lesotho
CL_AREA_GFSYFALCS2014,668,Liberia
CL_AREA_GFSYFALCS2014,672,Libya
CL_AREA_GFSYFALCS2014,946,Lithuania
CL_AREA_GFSYFALCS2014,137,Luxembourg
CL_AREA_GFSYFALCS2014,962,"Macedonia, FYR"
CL_AREA_GFSYFALCS2014,674,Madagascar
CL_AREA_GFSYFALCS2014,676,Malawi
CL_AREA_GFSYFALCS2014,548,Malaysia
CL_AREA_GFSYFALCS2014,556,Maldives
CL_AREA_GFSYFALCS2014,678,Mali
CL_AREA_GFSYFALCS2014,181,Malta
CL_AREA_GFSYFALCS2014,867,"Marshall Islands, Republic of"
CL_AREA_GFSYFALCS2014,682,Mauritania
CL_AREA_GFSYFALCS2014,684,Mauritius
CL_AREA_GFSYFALCS2014,273,Mexico
CL_AREA_GFSYFALCS2014,868,"Micronesia, Federated States of"
CL_AREA_GFSYFALCS2014,921,Moldova
CL_AREA_GFSYFALCS2014,183,Monaco
CL_AREA_GFSYFALCS2014,948,Mongolia
CL_AREA_GFSYFALCS2014,943,Montenegro
CL_AREA_GFSYFALCS2014,351,Montserrat
CL_AREA_GFSYFALCS2014,686,Morocco
CL_AREA_GFSYFALCS2014,688,Mozambique
CL_AREA_GFSYFALCS2014,518,Myanmar
CL_AREA_GFSYFALCS2014,728,Namibia
CL_AREA_GFSYFALCS2014,836,Nauru
CL_AREA_GFSYFALCS2014,558,Nepal
CL_AREA_GFSYFALCS2014,138,Netherlands
CL_AREA_GFSYFALCS2014,353,Netherlands Antilles
CL_AREA_GFSYFALCS2014,196,New Zealand
CL_AREA_GFSYFALCS2014,278,Nicaragua
CL_AREA_GFSYFALCS2014,692,Niger
CL_AREA_GFSYFALCS2014,694,Nigeria
CL_AREA_GFSYFALCS2014,142,Norway
CL_AREA_GFSYFALCS2014,449,Oman
CL_AREA_GFSYFALCS2014,564,Pakistan
CL_AREA_GFSYFALCS2014,565,Palau
CL_AREA_GFSYFALCS2014,283,Panama
CL_AREA_GFSYFALCS2014,853,Papua New Guinea
CL_AREA_GFSYFALCS2014,288,Paraguay
CL_AREA_GFSYFALCS2014,293,Peru
CL_AREA_GFSYFALCS2014,566,Philippines
CL_AREA_GFSYFALCS2014,964,Poland
CL_AREA_GFSYFALCS2014,182,Portugal
CL_AREA_GFSYFALCS2014,453,Qatar
CL_AREA_GFSYFALCS2014,968,Romania
CL_AREA_GFSYFALCS2014,922,Russian Federation
CL_AREA_GFSYFALCS2014,714,Rwanda
CL_AREA_GFSYFALCS2014,862,Samoa
CL_AREA_GFSYFALCS2014,135,San Marino
CL_AREA_GFSYFALCS2014,716,Sao Tome and Principe
CL_AREA_GFSYFALCS2014,456,Saudi Arabia
CL_AREA_GFSYFALCS2014,722,Senegal
CL_AREA_GFSYFALCS2014,965,Serbia and Montenegro
CL_AREA_GFSYFALCS2014,942,"Serbia, Republic of"
CL_AREA_GFSYFALCS2014,718,Seychelles
CL_AREA_GFSYFALCS2014,724,Sierra Leone
CL_AREA_GFSYFALCS2014,576,Singapore
CL_AREA_GFSYFALCS2014,936,Slovak Republic
CL_AREA_GFSYFALCS2014,961,Slovenia
CL_AREA_GFSYFALCS2014,813,Solomon Islands
CL_AREA_GFSYFALCS2014,726,Somalia
CL_AREA_GFSYFALCS2014,199,South Africa
CL_AREA_GFSYFALCS2014,733,South Sudan
CL_AREA_GFSYFALCS2014,184,Spain
CL_AREA_GFSYFALCS2014,524,Sri Lanka
CL_AREA_GFSYFALCS2014,361,St. Kitts and Nevis
CL_AREA_GFSYFALCS2014,362,St. Lucia
CL_AREA_GFSYFALCS2014,364,St. Vincent and the Grenadines
CL_AREA_GFSYFALCS2014,732,Sudan
CL_AREA_GFSYFALCS2014,366,Suriname
CL_AREA_GFSYFALCS2014,734,Swaziland
CL_AREA_GFSYFALCS2014,144,Sweden
CL_AREA_GFSYFALCS2014,146,Switzerland
CL_AREA_GFSYFALCS2014,463,Syrian Arab Republic
CL_AREA_GFSYFALCS2014,923,Tajikistan
CL_AREA_GFSYFALCS2014,738,Tanzania
CL_AREA_GFSYFALCS2014,578,Thailand
CL_AREA_GFSYFALCS2014,537,"Timor-Leste, Dem. Rep. of"
CL_AREA_GFSYFALCS2014,742,Togo
CL_AREA_GFSYFALCS2014,866,Tonga
CL_AREA_GFSYFALCS2014,369,Trinidad and Tobago
CL_AREA_GFSYFALCS2014,744,Tunisia
CL_AREA_GFSYFALCS2014,186,Turkey
CL_AREA_GFSYFALCS2014,925,Turkmenistan
CL_AREA_GFSYFALCS2014,869,Tuvalu
CL_AREA_GFSYFALCS2014,746,Uganda
CL_AREA_GFSYFALCS2014,926,Ukraine
CL_AREA_GFSYFALCS2014,466,United Arab Emirates
CL_AREA_GFSYFALCS2014,112,United Kingdom
CL_AREA_GFSYFALCS2014,111,United States
CL_AREA_GFSYFALCS2014,298,Uruguay
CL_AREA_GFSYFALCS2014,927,Uzbekistan
CL_AREA_GFSYFALCS2014,846,Vanuatu
CL_AREA_GFSYFALCS2014,299,"Venezuela, Republica Bolivariana de"
CL_AREA_GFSYFALCS2014,582,Vietnam
CL_AREA_GFSYFALCS2014,487,West Bank and Gaza
CL_AREA_GFSYFALCS2014,473,Yemen Arab Rep.
CL_AREA_GFSYFALCS2014,474,"Yemen, Republic of"
CL_AREA_GFSYFALCS2014,754,Zambia
CL_AREA_GFSYFALCS2014,698,Zimbabwe
CL_SECTOR_GFSYFALCS2014,S1311B,Budgetary central government
CL_SECTOR_GFSYFALCS2014,S1311,Central government (excl. social security funds)
CL_SECTOR_GFSYFALCS2014,S1321,Central government (incl. social security funds)
CL_SECTOR_GFSYFALCS2014,S13112,Extrabudgetary central government
CL_SECTOR_GFSYFALCS2014,S13,General government
CL_SECTOR_GFSYFALCS2014,S1313,Local governments
CL_SECTOR_GFSYFALCS2014,S1314,Social security funds
CL_SECTOR_GFSYFALCS2014,S1312,State governments
CL_UNIT_GFSYFALCS2014,XDC,Domestic currency
CL_UNIT_GFSYFALCS2014,XDC_R_B1GQ,Percent of GDP
CL_INDICATOR_GFSYFALCS2014,G32,Net acquisition of financial assets
CL_INDICATOR_GFSYFALCS2014,G6,Net financial worth
CL_INDICATOR_GFSYFALCS2014,G33,Net incurrence of liabilities
CL_INDICATOR_GFSYFALCS2014,G3,Net transactions affecting net financial worth
CL_INDICATOR_GFSYFALCS2014,G62,Stock position of financial assets
CL_INDICATOR_GFSYFALCS2014,G63,Stock position of liabilities
CL_COUNTERPART_SECTOR_GFSYFALCS2014,BA,Budgetary central government
CL_COUNTERPART_SECTOR_GFSYFALCS2014,CB,Central bank
CL_COUNTERPART_SECTOR_GFSYFALCS2014,CG,Central government (excl. social security)
CL_COUNTERPART_SECTOR_GFSYFALCS2014,DFC,"Deposit taking corporations, except the central bank"
CL_COUNTERPART_SECTOR_GFSYFALCS2014,EFC,"External, Financial corporations"
CL_COUNTERPART_SECTOR_GFSYFALCS2014,EGG,"External, General government"
CL_COUNTERPART_SECTOR_GFSYFALCS2014,ENH,"External, Nonfinancial corporations, HHs, & NPISH"
CL_COUNTERPART_SECTOR_GFSYFALCS2014,EA,Extrabudgetary central government
CL_COUNTERPART_SECTOR_GFSYFALCS2014,FC,Financial corporations
CL_COUNTERPART_SECTOR_GFSYFALCS2014,GG,General government
CL_COUNTERPART_SECTOR_GFSYFALCS2014,HHN,Households & NPISH
CL_COUNTERPART_SECTOR_GFSYFALCS2014,IO,International organisations
CL_COUNTERPART_SECTOR_GFSYFALCS2014,LG,Local government
CL_COUNTERPART_SECTOR_GFSYFALCS2014,NFC,Nonfinancial corporations
CL_COUNTERPART_SECTOR_GFSYFALCS2014,OFC,Other financial corporations 
CL_COUNTERPART_SECTOR_GFSYFALCS2014,SG,Regional (state/provincial) government
CL_COUNTERPART_SECTOR_GFSYFALCS2014,SSF,Social security funds
CL_AREA_GFSE2016,AF,Afghanistan
CL_AREA_GFSE2016,AL,Albania
CL_AREA_GFSE2016,DZ,Algeria
CL_AREA_GFSE2016,AO,Angola
CL_AREA_GFSE2016,AI,Anguilla
CL_AREA_GFSE2016,AG,Antigua and Barbuda
